var_x,var_y
29.574,41.210
15.673,15.389
21.275,14.307
40.958,41.212
28.373,23.982
17.116,16.136
39.041,23.429
18.109,26.487
24.202,22.872
29.358,26.947
31.630,30.162
35.060,51.143
26.392,18.845
37.620,20.445
31.103,26.458
27.580,24.309
42.653,42.324
35.661,28.274
28.471,24.609
26.844,19.410
33.561,34.752
23.962,28.134
46.687,39.500
30.888,19.904
43.289,52.738
18.477,15.349
26.319,40.050
9.738,23.335
37.160,44.388
36.399,35.272
33.801,29.541
26.191,27.705
39.037,47.737
23.652,28.346
43.038,29.524
35.454,26.384
19.864,27.813
39.004,48.052
33.663,30.733
28.135,25.952
19.449,40.006
44.799,38.968
28.475,14.157
34.544,25.633
15.585,22.298
13.168,29.738
48.991,32.472
22.892,10.735
24.137,30.943
31.884,35.265
23.248,12.549
34.082,23.691
36.323,37.191
25.948,36.520
18.908,18.249
46.999,47.485
36.513,31.031
32.913,33.891
23.645,19.992
27.548,35.908
46.758,37.745
24.516,27.920
19.241,31.793
42.343,41.235
34.111,25.109
19.940,19.208
15.524,31.695
26.702,34.126
26.255,40.523
18.737,27.766
15.880,31.440
44.705,51.064
26.788,29.705
27.553,36.513
29.918,17.367
39.462,41.578
32.383,29.872
32.734,30.087
40.655,25.588
34.653,14.333
29.751,50.827
28.697,26.491
40.822,38.599
35.038,31.613
27.578,43.320
7.073,9.668
34.436,17.291
7.721,14.882
33.945,33.895
18.653,20.098
41.448,26.578
33.125,39.194
37.755,43.347
57.635,40.386
42.923,41.859
43.433,34.104
28.262,26.562
5.884,21.796
18.716,24.930
23.187,20.011
